Zipcode,HospitalCount
60002,0
60004,0
60005,1
60007,1
60008,0
60010,1
60012,0
60013,0
60014,1
60015,0
60016,0
60018,0
60020,0
60021,0
60022,0
60025,1
60026,0
60029,0
60030,0
60031,0
60033,1
60034,0
60035,1
60040,0
60041,0
60042,0
60043,0
60044,0
60045,1
60046,0
60047,0
60048,1
60050,1
60051,0
60053,0
60056,0
60060,0
60061,0
60062,0
60064,0
60067,0
60068,1
60069,0
60070,0
60071,0
60072,0
60073,0
60074,0
60075,0
60076,1
60077,0
60081,0
60083,0
60084,0
60085,1
60087,0
60088,0
60089,0
60090,0
60091,0
60093,0
60096,0
60097,0
60098,1
60099,0
60101,0
60102,0
60103,0
60104,0
60106,0
60107,0
60108,0
60109,0
60110,0
60111,0
60112,0
60113,0
60115,1
60118,0
60119,0
60120,2
60123,0
60124,0
60126,1
60129,0
60130,0
60131,0
60133,0
60134,1
60135,0
60136,0
60137,0
60139,1
60140,0
60141,0
60142,1
60143,0
60144,0
60145,0
60146,0
60148,0
60150,0
60151,0
60152,0
60153,1
60154,0
60155,0
60156,0
60157,0
60160,1
60162,0
60163,0
60164,0
60165,0
60169,1
60171,0
60172,0
60173,0
60174,0
60175,0
60176,0
60177,0
60178,0
60180,0
60181,0
60183,0
60184,0
60185,0
60187,0
60188,0
60189,0
60190,1
60191,0
60192,0
60193,0
60194,0
60195,0
60201,1
60202,1
60203,0
60208,0
60301,0
60302,1
60304,1
60305,0
60401,0
60402,1
60403,0
60404,0
60406,0
60407,0
60408,0
60409,0
60410,0
60411,0
60415,0
60416,0
60417,0
60418,0
60419,0
60420,0
60421,0
60422,0
60423,0
60424,0
60425,0
60426,1
60428,0
60429,1
60430,0
60431,0
60432,0
60433,0
60435,1
60436,0
60437,0
60438,0
60439,0
60440,1
60441,0
60442,0
60443,0
60444,0
60445,0
60446,0
60447,0
60448,0
60449,0
60450,1
60451,1
60452,0
60453,1
60455,0
60456,0
60457,0
60458,0
60459,0
60460,0
60461,1
60462,0
60463,1
60464,0
60465,0
60466,0
60467,0
60468,0
60469,0
60470,0
60471,0
60472,0
60473,0
60474,0
60475,0
60476,0
60477,0
60478,0
60479,0
60480,0
60481,0
60482,0
60484,0
60487,0
60490,0
60491,0
60501,0
60502,0
60503,0
60504,1
60505,0
60506,1
60510,0
60511,0
60512,0
60513,0
60514,0
60515,1
60516,0
60517,0
60518,0
60519,0
60520,0
60521,1
60523,0
60525,1
60526,0
60527,0
60530,0
60531,0
60532,0
60534,0
60536,0
60537,0
60538,0
60539,0
60540,1
60541,0
60542,0
60543,0
60544,0
60545,0
60546,0
60548,1
60549,0
60550,0
60551,0
60552,0
60553,0
60554,0
60555,0
60556,0
60557,0
60558,0
60559,0
60560,0
60561,0
60563,0
60564,0
60565,0
60585,0
60586,0
60601,0
60602,0
60603,0
60604,0
60605,0
60606,0
60607,0
60608,1
60609,0
60610,0
60611,2
60612,3
60613,1
60614,0
60615,1
60616,1
60617,2
60618,0
60619,0
60620,0
60621,1
60622,2
60623,1
60624,0
60625,1
60626,0
60628,1
60629,1
60630,0
60631,1
60632,0
60633,0
60634,1
60636,0
60637,1
60638,0
60639,0
60640,2
60641,0
60642,0
60643,0
60644,1
60645,0
60646,0
60647,0
60649,2
60651,0
60652,0
60653,0
60654,0
60655,0
60656,0
60657,2
60659,0
60660,0
60661,0
60706,0
60707,1
60712,0
60714,0
60803,0
60804,0
60805,1
60827,0
60901,2
60910,0
60911,0
60912,0
60913,0
60914,0
60915,0
60917,0
60918,0
60919,0
60920,0
60921,0
60922,0
60924,0
60926,0
60927,0
60928,0
60929,0
60930,0
60931,0
60932,0
60933,0
60934,0
60935,0
60936,1
60938,0
60939,0
60940,0
60941,0
60942,1
60945,0
60946,0
60948,0
60949,0
60950,0
60951,0
60952,0
60953,0
60954,0
60955,0
60956,0
60957,0
60958,0
60959,0
60960,0
60961,0
60962,0
60963,0
60964,0
60966,0
60967,0
60968,0
60969,0
60970,1
60973,0
60974,0
61001,0
61006,0
61007,0
61008,0
61010,0
61011,0
61012,0
61013,0
61014,0
61015,0
61016,0
61018,0
61019,0
61020,0
61021,1
61024,0
61025,0
61027,0
61028,0
61030,0
61031,0
61032,1
61036,1
61037,0
61038,0
61039,0
61041,0
61042,0
61043,0
61044,0
61046,0
61047,0
61048,0
61049,0
61050,0
61051,0
61052,0
61053,0
61054,0
61057,0
61059,0
61060,0
61061,0
61062,0
61063,0
61064,0
61065,0
61067,0
61068,1
61070,0
61071,0
61072,0
61073,0
61074,0
61075,0
61077,0
61078,0
61079,0
61080,0
61081,1
61084,0
61085,0
61087,0
61088,0
61089,0
61091,0
61101,0
61102,0
61103,1
61104,1
61107,0
61108,1
61109,0
61111,0
61112,0
61114,1
61115,0
61201,1
61230,0
61231,1
61232,0
61233,0
61234,0
61235,0
61236,0
61237,0
61238,0
61239,0
61240,0
61241,0
61242,0
61243,0
61244,0
61250,0
61251,0
61252,0
61254,1
61256,0
61257,0
61258,0
61259,0
61260,0
61261,0
61262,0
61263,0
61264,0
61265,1
61270,1
61272,0
61273,0
61274,0
61275,0
61276,0
61277,0
61278,0
61279,0
61281,0
61282,1
61283,0
61284,0
61285,0
61301,0
61310,0
61311,0
