Zipcode,SchoolCount
60002,7
60004,12
60005,8
60007,10
60008,7
60010,11
60012,1
60013,6
60014,18
60015,8
60016,10
60018,12
60020,2
60021,2
60022,3
60025,8
60026,7
60030,17
60031,6
60033,5
60034,3
60035,12
60040,1
60041,5
60042,2
60043,1
60044,2
60045,7
60046,9
60047,11
60048,8
60050,7
60051,5
60053,7
60056,15
60060,14
60061,15
60062,13
60064,6
60067,10
60068,9
60069,4
60070,6
60071,3
60072,1
60073,13
60074,6
60076,8
60077,7
60081,2
60083,3
60084,5
60085,16
60087,8
60088,2
60089,12
60090,8
60091,8
60093,10
60096,2
60097,1
60098,12
60099,12
60101,13
60102,12
60103,10
60104,6
60106,9
60107,9
60108,9
60109,4
60110,15
60112,1
60113,1
60115,10
60118,3
60119,2
60120,17
60123,11
60124,4
60126,14
60130,6
60131,7
60133,11
60134,11
60135,3
60136,1
60137,12
60139,8
60140,7
60142,2
60143,5
60145,1
60146,2
60148,13
60150,3
60151,3
60152,5
60153,11
60154,4
60155,2
60156,6
60157,4
60160,4
60162,10
60163,2
60164,9
60165,1
60169,10
60171,3
60172,11
60174,19
60175,5
60176,3
60177,6
60178,7
60180,1
60181,8
60183,1
60184,1
60185,13
60187,10
60188,9
60189,7
60190,4
60191,5
60192,4
60193,8
60194,6
60195,1
60201,9
60202,9
60203,1
60302,8
60304,3
60305,3
60401,3
60402,15
60403,4
60404,4
60406,9
60407,1
60408,6
60409,14
60410,8
60411,31
60415,3
60416,5
60417,4
60418,4
60419,12
60420,2
60421,3
60422,5
60423,11
60424,2
60425,4
60426,13
60428,6
60429,4
60430,3
60431,8
60432,10
60433,8
60435,10
60436,4
60438,8
60439,5
60440,11
60441,10
60442,3
60443,6
60444,2
60445,9
60446,9
60447,7
60448,4
60449,2
60450,9
60451,15
60452,17
60453,13
60455,3
60456,1
60457,3
60458,4
60459,16
60460,1
60461,2
60462,12
60463,6
60464,2
60465,3
60466,8
60467,3
60468,4
60469,2
60470,1
60471,5
60472,2
60473,20
60474,1
60475,2
60476,1
60477,8
60478,5
60480,1
60481,7
60482,5
60484,2
60487,5
60490,3
60491,7
60501,6
60502,5
60503,4
60504,8
60505,20
60506,16
60510,10
60511,1
60512,1
60513,4
60514,4
60515,8
60516,9
60517,7
60518,4
60520,2
60521,6
60523,3
60525,19
60526,4
60527,7
60531,2
60532,9
60534,3
60538,5
60540,13
60541,7
60542,4
60543,14
60544,11
60545,7
60546,6
60548,7
60549,2
60550,2
60551,1
60552,3
60553,1
60554,2
60555,3
60556,1
60558,4
60559,6
60560,10
60561,9
60563,8
60564,13
60565,10
60585,9
60586,10
60602,2
60603,1
60605,3
60607,5
60608,27
60609,28
60610,7
60612,25
60613,7
60614,7
60615,10
60616,15
60617,27
60618,19
60619,20
60620,22
60621,16
60622,16
60623,34
60624,19
60625,15
60626,7
60628,25
60629,22
60630,4
60631,7
60632,29
60633,3
60634,13
60636,13
60637,16
60638,10
60639,17
60640,7
60641,12
60642,7
60643,20
60644,15
60645,6
60646,4
60647,14
60649,9
60651,15
60652,11
60653,13
60655,5
60656,4
60657,6
60659,7
60660,5
60706,5
60707,6
60712,4
60714,6
60803,8
60804,19
60805,6
60827,15
60901,14
60911,1
60913,1
60914,8
60915,4
60921,1
60922,1
60924,3
60927,2
60928,1
60929,1
60930,1
60931,3
60936,3
60938,2
60940,2
60941,2
60942,4
60944,1
60946,1
60949,1
60950,3
60953,3
60954,3
60955,1
60957,4
60959,1
60963,2
60964,4
60966,1
60968,1
60970,4
61006,1
61008,10
61010,4
61011,1
61012,1
61015,2
61018,2
61021,10
61024,4
61025,3
61028,3
61030,2
61031,1
61032,11
61036,3
61039,1
61041,3
61046,1
61048,3
61049,1
61051,2
61052,1
61053,1
61054,1
61060,3
61061,2
61062,3
61063,3
61064,3
61065,5
61068,7
61071,12
61072,7
61073,5
61074,2
61075,3
61078,1
61079,1
61080,7
61081,15
61084,3
61085,4
61087,2
61088,4
61101,7
61102,6
61103,8
61104,3
61107,6
61108,6
61109,6
61111,6
61114,3
61115,9
61201,13
61231,4
61232,1
61234,2
61235,2
61238,2
61239,1
61240,1
61241,1
61244,12
61250,3
61252,4
61254,5
61256,1
61259,1
61260,1
61263,1
61264,1
61265,15
61270,9
61272,1
61273,3
61275,3
61277,4
61281,3
61282,3
61283,2
61284,3
61301,4
61310,3
61319,1
61320,1
61322,2
61325,1
61326,2
61327,1
61329,1
61330,2
61334,1
61335,1
61337,1
61338,2
61341,2
61342,4
61345,1
61348,2
61349,2
61350,11
61353,2
61354,7
61356,5
61360,3
61362,2
61364,6
61368,1
61369,1
61370,1
61373,1
61375,1
61376,1
61377,2
61379,1
61401,13
61410,2
61412,1
61413,1
61415,2
61418,3
61421,2
61422,3
61427,3
61434,2
61438,1
61443,8
61448,3
61450,2
61455,10
61462,9
61467,2
61473,1
61475,2
61480,1
61482,3
61483,2
61486,1
61489,3
61490,1
61491,1
61501,3
61516,2
61517,2
61520,7
61523,5
61525,6
61529,3
61530,4
61531,3
61533,3
61534,1
61537,2
61540,1
61542,3
61544,3
61546,3
61548,11
61550,7
61552,2
61554,17
61559,2
61561,3
61564,1
61565,1
61568,3
61570,3
61571,7
61603,6
61604,15
61605,7
61606,2
61607,9
61610,2
61611,11
61614,8
61615,5
61616,2
61701,11
61704,5
61705,3
61723,1
61725,1
61726,1
61727,5
61728,3
61729,1
61732,1
61733,1
61734,3
61736,3
61738,3
61739,2
61740,4
61741,2
61742,1
61743,1
61744,1
61745,2
61748,1
61752,3
61753,3
61755,2
61756,2
61759,1
61760,3
61761,17
61764,6
61769,1
61774,2
61776,1
61790,2
61801,8
61802,5
61812,2
61813,3
61814,4
61816,1
61817,2
61818,2
61820,12
61821,9
61822,1
61832,11
61834,6
61839,1
61842,2
61843,2
61844,1
61846,3
61847,1
61849,1
61853,4
61854,1
61856,3
61858,1
61859,1
61864,1
61865,1
61866,6
61871,1
61873,3
61874,1
61876,2
61878,2
61880,3
61882,2
61883,3
61884,1
61910,2
61911,2
61912,1
61913,1
61914,2
61920,9
61924,3
61931,2
61932,2
61933,3
61937,1
61938,9
61943,2
61944,10
61951,3
61953,3
61956,3
61957,2
62001,1
62002,7
62010,5
62012,1
62013,2
62014,2
62016,2
62017,1
62024,4
62025,10
62033,3
62034,2
62035,3
62037,2
62040,10
62044,2
62046,1
62047,2
62048,1
62049,3
62052,7
62056,8
62059,3
62060,4
62061,1
62062,1
62063,1
62067,2
62069,2
62075,2
62079,2
62080,2
62082,1
62084,3
62086,1
62087,1
62088,3
62092,1
62095,5
62097,1
62201,3
62203,2
62204,2
62205,3
62206,10
62207,2
62208,4
62215,2
62216,1
62218,1
62219,1
62220,9
62221,6
62223,8
62225,1
62226,7
62230,3
62231,3
62232,2
62233,3
62234,10
62236,4
62237,3
62239,3
62242,1
62243,3
62245,1
62246,4
62249,5
62254,2
62257,2
62258,3
62260,2
62262,3
62263,2
62264,3
62265,1
62268,1
62269,12
62271,2
62274,4
62275,1
62277,1
62278,5
62281,2
62282,1
62285,1
62286,2
62288,2
62293,3
62294,4
62295,3
62298,6
62301,7
62305,5
62311,1
62312,2
62316,1
62320,3
62321,6
62326,2
62330,1
62339,1
62340,2
62341,2
62345,1
62347,2
62351,3
62353,3
62354,1
62360,2
62362,1
62363,4
62366,2
62379,2
62401,9
62410,1
62411,2
62414,2
62417,2
62418,3
62420,2
62422,1
62424,2
62431,1
62433,2
62439,3
62440,1
62441,5
62442,2
62446,1
62447,4
62448,3
62449,2
62450,3
62451,2
62454,4
62458,3
62459,2
62465,2
62466,1
62467,3
62468,3
62471,6
62476,1
62480,2
62501,2
62510,3
62513,1
62515,3
62521,12
62522,2
62523,2
62526,7
62530,1
62531,3
62533,1
62534,1
62535,1
62537,1
62539,2
62540,2
62544,2
62546,3
62548,2
62549,5
62550,2
62551,1
62554,1
62557,4
62558,2
62560,3
62561,3
62563,5
62565,5
62568,4
62573,3
62612,2
62613,2
62615,3
62618,3
62621,3
62625,2
62626,9
62627,1
62629,6
